"NEG"	"POS"
44.982	124.0868
91.003664	90.97639
112.96945	158.96384
180.9569	226.95129
248.94435	294.93874
316.9318	362.92619
384.91925	430.91364
452.9067	498.90109
520.89415	566.88854
588.8816	634.87599
656.86905	702.86344
724.8565	770.85089
792.84395	838.83834
860.8314	906.82579
928.81885	974.81324
996.8063	223.0595
306.903	283.0262
374.89045	581.2343
758.86518	637.2957
826.85263	638.29905
894.84008	659.27768
962.82753	341.2999
61.98875	193.1589
115.9206	437.1869
116.92741	455.3272
132.9233	60.04581
144.9235	74.06112
383.18958	114.0662
384.18454	136.04818
457.22673	135.09299
540.2722	90.50735
541.27555	184.9847
248.97233	89.50731
277.18426	113.96138
311.16875	141.95797
325.18432	182.9841
339.19983	NA
195.8112	NA
197.8083	NA
199.80514	NA
623.3915	NA
691.37895	NA
759.3664	NA
827.35385	NA
895.3413	NA
