cmp_ID	formula	RT	seen_in	comments	identified
X0001	192.155324	29	2019_11: IS_High vs IS_Low POS	IS	NO
X0002	216.09976	29	2019_11: IS_High vs IS_Low POS	IS	NO
X0003	138.059624	100	2019_11: IS_High vs IS_Low POS	IS	NO
X0004	514.405953	27	2019_11: IS_High vs IS_Low POS	IS	NO
X0005	181.153124	117	2019_11: IS_High vs IS_Low POS	IS	NO
X0006	134.088324	136	2019_11: IS_High vs IS_Low POS	IS	NO
X0007	73.090324	32	2019_11: IS_High vs IS_Low POS	IS	NO
X0008	129.151724	27	2019_11: IS_High vs IS_Low POS	IS	NO
X0009	171.949024	194	2019_11: IS_High vs IS_Low POS	IS	NO
X0010	173.949024	192	2019_11: IS_High vs IS_Low POS	IS	NO
X0011	152.127224	40	2019_11: IS_High vs IS_Low POS	IS	NO
X0012	648.299504	29	2019_11: IS_High vs IS_Low POS	IS	NO
X0013	171.059924	179	2019_11: IS_High vs IS_Low POS	IS	NO
X0014	189.121624	39	2019_11: IS_High vs IS_Low POS	IS	NO
X0015	518.187824	31	2019_11: IS_High vs IS_Low POS	IS	NO
X0016	392.290824	25	2019_11: IS_High vs IS_Low POS	IS	NO
X0017	169.080424	43	2019_11: IS_High vs IS_Low POS	IS	NO
X0018	198.135724	156	2019_11: IS_High vs IS_Low POS	IS	NO
X0019	613.246284	141	2019_11: IS_High vs IS_Low POS	IS	NO
X0020	238.081944	30	2019_11: IS_High vs IS_Low POS	IS	NO
X0021	167.082634	146	2019_11: IS_High vs IS_Low POS	IS	NO
X0022	332.143484	127	2019_11: IS_High vs IS_Low POS	IS	NO
X0023	135.056224	67	2019_11: IS_High vs IS_Low POS	IS	NO
X0024	124.978894	203	2019_11: IS_High vs IS_Low POS	IS	NO
X0025	344.145064	35	2019_11: IS_High vs IS_Low POS	IS	NO
X0026	101.120684	29	2019_11: IS_High vs IS_Low POS	IS	NO
X0027	89.500484	193	2019_11: IS_High vs IS_Low POS	IS	NO
X0028	734.287724	31	2019_11: IS_High vs IS_Low POS	IS	NO
X0029	137.041314	151	2019_11: IS_High vs IS_Low POS	"L-Methionine (13C5, 99%; 15N, 99%): [M+H-H2O]+"	YES
X0030	165.1311537	54	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0031	339.2524856	135	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0032	700.4863132	137	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0033	170.9858706	294	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0034	68.03870482	44	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0035	156.064224	95	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0036	166.110424	33	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0037	474.3187593	59	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0038	165.1271972	65	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0039	69.04150223	68	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0040	202.0798399	70	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0041	152.0947781	37	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0042a	452.3354218	135	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0042b	452.336424	54	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0043	282.168124	40	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0044	389.1620663	73	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0045	135.0935554	34	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0046	474.3226	123	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0047	299.283	30	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0048	577.130724	31	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0049	325.371	23	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0050	328.2483	59	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0051	304.150124	40	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0052	530.4002	27	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0053	164.124224	125	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0054	C24H30O6	31	2016_05: MIX-09 vs Blank POS / 2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	Eplerone	YES
X0055	183.978124	34	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0056	124.063724	47	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0057	112.063824	64	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0058	178.139824	53	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0059	222.981124	188	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0060	576.127324	34	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0061	303.293024	24	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0062	340.255924	134	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0063	458.344724	55	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0064	137.120424	27	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0065	138.079324	33	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0066	194.141524	28	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0067	716.4606	131	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0068	153.089724	88	2016_05: MIX-06 vs Blank POS	MIX-06	NO
X0069	154.033524	93	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0070	208.182324	29	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0071	320.3083	29	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0072	336.234324	56	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0073	463.328124	140	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0074	429.383024	26	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0075	82.053964	36	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0076	381.159924	70	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0077	420.235324	40	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0078	208.157624	28	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0079	910.680324	143	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0080a	225.944424	114	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0080b	225.943724	163	2016_05: MIX-01 vs Blank POS	MIX-01	NO
X0081	490.314124	38	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0082	401.350724	27	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0083	911.684124	143	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0084	140.095024	35	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0085	334.298524	25	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0086	393.160424	50	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0087	328.318	30	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0088	206.151924	31	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0089	156.070224	135	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0090	181.9777	201	2019_11: IS_High vs IS_Low vs Blank_Inj vs Blank_Ext POS	IS	NO
X0091	152.105824	161	2016_05: MIX-06 vs Blank POS	MIX-06	NO
X0092a	123.079524	55	2016_05: MIX-01 vs Blank POS	MIX-01	NO
X0092b	123.079624	87	2016_05: MIX-12 vs Blank POS	MIX-12	NO
X0092c	123.079594	117	2016_05: MIX-17 vs Blank POS	MIX-17	NO
X0093	C5H11NO2	157	2016_05: MIX-01 vs Blank POS	Betaine	YES
X0094	113.0587	78	2016_05: MIX-01 vs Blank POS	MIX-01	NO
X0095	139.060524	157	2016_05: MIX-01 vs Blank POS	MIX-01	NO
X0096	837.826424	164	2016_05: MIX-01 vs Blank POS	MIX-01	NO
X0097	429.905224	154	2016_05: MIX-01 vs Blank POS	MIX-01	NO
X0098	278.085424	43	2016_05: MIX-01 vs Blank POS	MIX-01	NO
X0099	218.053024	35	2016_05: MIX-01 vs Blank POS	MIX-01	NO
