ID	mode	mz	assignation
Carnitine (D3)	POS	164.1253947	[+]
Carnitine (D3)	POS	164.60604	[+]
Carnitine (D3)	POS	382.16721	[+]
Creatinine (N-Methhyl_D3)	POS	116.71517	[+]
Creatinine (N-Methhyl_D3)	POS	686.5228352	[+]
Creatinine (N-Methhyl_D3)	POS	704.5013876	[+]
"L-Arginine HCl (13C6, 99%; 15N4, 99%)"	POS	251.0416	[+]
"L-Arginine HCl (13C6, 99%; 15N4, 99%)"	POS	423.1669197	[+]
"L-Leucine (13C6, 99%; 15N, 99%)"	POS	138.67794	[+]
"L-Methionine (13C5, 99%; 15N, 99%)"	POS	929.6679	[+]
"L-Phenylalanine (13C9, 99%; 15N, 99%)"	POS	175.5528918	[+]
"L-Phenylalanine (13C9, 99%; 15N, 99%)"	POS	220.0771198	[+]
"L-Phenylalanine (13C9, 99%; 15N, 99%)"	POS	340.7617	[+]
"L-Phenylalanine (13C9, 99%; 15N, 99%)"	NEG	371.1876	[-]
"L-Proline (13C5, 99%; 15N, 99%)"	POS	928.66512	[+]
X0002	POS	282.2796504	[+]
X0002	POS	283.2825904	[+]
X0002	POS	339.3457231	[+]
X0002	POS	354.249143	[+]
X0002	POS	389.1811878	[+]
X0002	POS	398.2752406	[+]
X0002	POS	442.3015347	[+]
X0002	POS	457.4364	[+]
X0003	POS	255.145	[+]
X0003	POS	295.0847	[+]
X0003	POS	297.0829	[+]
X0004	POS	551.3285536	[+]
X0004	POS	607.3908359	[+]
X0004	POS	663.4537755	[+]
X0004	POS	664.4571318	[+]
X0007	POS	741.4236023	[+]
X0009	POS	131.9297887	[+]
X0010	POS	133.9293364	[+]
X0010	POS	176.9527	[+]
X0012	POS	887.3883063	[+]
X0015	POS	429.4049	[+]
X0020	POS	173.0807	[+]
X0031	POS	351.2512418	[+]
X0031	POS	685.5202221	[+]
X0039	POS	113.0710234	[+]
X0040	POS	205.0855793	[+]
X0042a	POS	453.8462618	[+]
X0044	POS	385.1751686	[+]
X0045	POS	503.3546178	[+]
X0050	POS	515.3612	[+]
X0054	POS	163.07535	[C10H10O2+H]+
X0054	POS	337.1798	[M+H-2(H2O)-C2H2O]+
X0054	POS	505.18147	[M+Na+CHOONa]+
X0061	POS	305.3035	[+]
X0061	POS	332.3313	[+]
X0061	POS	333.3348	13C[332]+
X0061	POS	334.3378	2(13C)[332]+
X0066	POS	128.1071	[+]
X0067	POS	720.4718	[+]
X0067	POS	721.473	[+]
X0070	POS	191.1796	[+]
X0071	POS	769.1766	[+]
X0081	POS	247.17308	[+]
X0090a	POS	68.9947	[+]
X0090a	POS	89.5073	[+]
X0090a	POS	89.50753	[+]
X0090a	POS	110.0199	[+]
X0090a	POS	113.9633	[+]
X0090a	POS	122.9632	[+]
X0090a	POS	141.9581	[+]
X0090a	POS	287.8883	[+]
X0090a	POS	300.91883	[+]
X0090a	POS	328.9139	[+]
X0096	POS	262.1288216	[+]
X0096	POS	974.8077	[+]
X0103	POS	211.0197	[+]
X0112	POS	307.08346	[+]
X0116	POS	307.5849348	[Mc13+2H]2+
X0116	POS	308.0866123	13C[M+2H]2+
X0121a	POS	200.07582	[+]
X0131	POS	249.0611567	[+]
X0157	POS	287.0612	[333  - H2O - CO]+
X0157	POS	333.0664	[+]
X0159a	NEG	611.1799	[-]
X0160	POS	241.0309	[+]
X0161	POS	377.0328	[+]
X0161	POS	546.0665	[+]
X0162	POS	453.18686	[+]
X0164	POS	192.0237	[+]
X0164	POS	207.9978	[+]
X0164	POS	530.0927	[+]
X0168	POS	73.58739	[+]
X0169	POS	193.068343	[+]
X0169	POS	193.5698009	[+]
X0176	POS	161.0181243	[+]
X0176	POS	437.0761769	[+]
X0185	POS	133.5612	[Mc13+2H]2+
X0187	POS	175.034	[+]
X0187	POS	479.1233	[+]
X0188	POS	114.0608	[+]
X0190	POS	222.0168	[+]
X0193a	POS	189.1345555	[+]
X0195	POS	289.04	[+]
X0195	POS	335.0454	[+]
X0199	POS	746.2643	[+]
X0209	POS	206.0421	[+]
X0213	POS	333.0635	[Mc13+2H]2+
X0220	POS	499.1958	[+]
X0221	POS	346.0251397	[+]
