type	ion_id	delta	X0001	X0002	X0004	X0009	X0010	X0012	X0013b	X0023	X0031	X0036	X0037	X0042a	X0046	X0049	X0050	X0051b	X0052	X0053	X0054	X0067	X0071	X0088	X0091	X0093	X0094a	X0094b	X0096	X0101	X0102	X0103	X0109	X0110	X0111	X0112	X0116	X0117	X0118	X0119	X0120	X0121a	X0122	X0125	X0126	X0128	X0131	X0132	X0134	X0140	X0141	X0142	X0143a	X0144	X0146	X0148	X0157	X0158	X0159a	X0159b	X0160	X0161	X0163	X0168	X0169	X0170	X0171	X0173	X0176	X0178	X0179a	X0179b	X0180	X0185	X0186	X0188	X0191	X0192	X0193a	X0193b	X0194	X0196	X0197	X0198	X0213	X0214	X0220	X0221	X0222	X0223a	X0223b	X0224	X0225	X0228	X0229	X0230	X0232	X0236	X0237	X0244b	X0245	X0247	X0250	X0255	X0256	X0257	X0258	X0260	X0261	X0262	X0263	X0264	X0265	X0266	X0349	X0350	X0351	X0352	X0353	X0363	X0371	X0375	X0378	X0379	X0383	X0384	X0391	X0392	X0393	X0394	X0395	X0402	X0407	X0411a	X0411b	X0412	X0414	X0417	X0418	X0419	X0420	X0421	X0422	X0424	X0425	X0426	X0428	X0429	X0431	X0435	X0436	X0443	X0444	X0446	X0447	X0448	X0449	X0450	X0456	X0457	X0459	X0460	X0461	X0466	X0468	X0482	X0489	X0492	X0506	X0516	X0517	X0532	X0546	X0549	X0551	X0553	X0554	X0557	X0558	X0559	X0561	X0562	X0564	X0566	X0567	X0568	X0569	X0570	X0571	X0572	X0574	X0577	X0580	X0581	X0583	X0584	X0586	X0587	X0588	X0589	X0590	X0594	X0597	X0598	X0599	X0600	X0601	X0602	X0603	X0605	X0608	X0609	X0610	X0611	X0612	X0619	X0621	X0625	X0626	X0627	X0629	X0630	X0634	X0635	X0636	X0637	X0639	X0640	X0647	X0648	X0650	X0652	X0653	X0654	X0655	X0656	X0657	X0658	X0659	X0660	X0661	X0663	X0665	X0667	X0668	X0669	X0671	X0674	X0676	X0677	X0678	X0679	X0680	X0681	X0683	X0685	X0687	X0691	X0693
isotope	13C[M*H]*	1.003355	1	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	2	1	2	1	1	-1	0	1	1	1	1	-1	2	1	1	1	1	1	-1	1	1	1	1	-1	2	0	2	1	1	-1	1	0	1	0	0	0	1	1	1	2	-1	0	1	1	2	-1	0	-1	1	1	1	2	0	-1	0	-1	0	1	-1	0	0	0	-1	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	1	-1	0	-1	0	0	0	0	0	0	0	-1	0	-1	0	-1	1	0	-1	-1	-1	-1	0	0	-1	-1	0	0	-1	0	0	0	-1	-1	0	0	0	0	-1	2	-1	1	0	0	0	0	-1	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	2	2	0	2	1	0	1	0	0	0	1	0	0	-1	2	0	1	1	1	-1	1	1	1	2	0	1	2	0	2	0	1	0	0	2	1	0	0	0	0	0	0	-1	0	0	0	2	2	0	0	0	-1	0	0	1	0	0	0	0	-1	0	0	2	0	0	0	0	1	-1	0	0	1
isotope	2(13C)[M*H]*	2.00671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isotope	34S[M*H]*	1.995796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dimer	[2M*H]*	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	1	0	0	0	0	0	1	-1	2	0	-1	0	0	-1	1	0	0	0	0	0	0	-1	0	-1	0	0	0	-1	0	-1	-1	-1	0	0	-1	0	-1	-1	0	-1	0	0	0	0	0	-1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	-1	0	0	-1	0	-1	-1	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	1	-1	0	0	-1	0	-1	2	2	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	2	-1	0	0	-1	0	0
dimer	13C[2M*H]*	1.003355	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	2	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dimer	2(13C)[2M*H]*	2.00671	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dimer	[2M+NH4]+	17.02654	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dimer	[2M+Na]+	21.98198	0	1	0	0	0	0	0	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	-1	0	0	-1	1	1	0	-1	-1	0	-1	0	1	0	0	1	0	0	0	0	0	-1	0	1	0	-1	0	0	0	-1	0	1	-1	-1	0	-1	-1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	0	0	0	-1	0	-1	-1	0	0	-1	0	0	0	0	-1	0	-1	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	-1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	-1	0	0	0	0	0	1	1	-1	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	-1	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0
dimer	13C[2M+Na]+	22.985335	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	1	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4	0	0	0	0	0	0	0
dimer	2(13C)[2M+Na]+	23.98869	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
