mzML	sample	sample_group	injection_idx	polarity
2019/2019_09/20190920_MS_IS_NEG_1.mzML	MS_IS_01	MS_IS		NEG
2019/2019_09/20190920_MS_IS_NEG_2.mzML	MS_IS_02	MS_IS		NEG
2019/2019_09/20190920_MS_IS_NEG_3.mzML	MS_IS_03	MS_IS		NEG
2019/2019_09/20190920_MS_IS_NEG_4.mzML	MS_IS_04	MS_IS		NEG
2019/2019_09/20190920_MS_IS_NEG_5.mzML	MS_IS_05	MS_IS		NEG
2019/2019_09/20190920_MS_IS_NEG_6.mzML	MS_IS_06	MS_IS		NEG
2019/2019_09/20190920_MS_IS_NEG_7.mzML	MS_IS_07	MS_IS		NEG
2019/2019_09/20190920_MS_IS_NEG_8.mzML	MS_IS_08	MS_IS		NEG
2019/2019_09/20190920_MS_IS_NEG_9.mzML	MS_IS_09	MS_IS		NEG
2019/2019_09/20190920_MS_IS_NEG_10.mzML	MS_IS_10	MS_IS		NEG
2019/2019_09/20190920_MS_IS_NEG_11.mzML	MS_IS_11	MS_IS		NEG
2019/2019_09/20190920_MS_IS_NEG_12.mzML	MS_IS_12	MS_IS		NEG
2019/2019_09/20190920_MS_IS_NEG_13.mzML	MS_IS_13	MS_IS		NEG
2019/2019_09/20190920_MS_IS_NEG_14.mzML	MS_IS_14	MS_IS		NEG
2019/2019_09/20190920_MS_IS_NEG_15.mzML	MS_IS_15	MS_IS		NEG
2019/2019_09/20190920_MS_IS_POS_1.mzML	MS_IS_01	MS_IS		POS
2019/2019_09/20190920_MS_IS_POS_2.mzML	MS_IS_02	MS_IS		POS
2019/2019_09/20190920_MS_IS_POS_3.mzML	MS_IS_03	MS_IS		POS
2019/2019_09/20190920_MS_IS_POS_4.mzML	MS_IS_04	MS_IS		POS
2019/2019_09/20190920_MS_IS_POS_5.mzML	MS_IS_05	MS_IS		POS
2019/2019_09/20190920_MS_IS_POS_6.mzML	MS_IS_06	MS_IS		POS
2019/2019_09/20190920_MS_IS_POS_7.mzML	MS_IS_07	MS_IS		POS
2019/2019_09/20190920_MS_IS_POS_8.mzML	MS_IS_08	MS_IS		POS
2019/2019_09/20190920_MS_IS_POS_9.mzML	MS_IS_09	MS_IS		POS
2019/2019_09/20190920_MS_IS_POS_10.mzML	MS_IS_10	MS_IS		POS
2019/2019_09/20190920_MS_IS_POS_11.mzML	MS_IS_11	MS_IS		POS
2019/2019_09/20190920_MS_IS_POS_12.mzML	MS_IS_12	MS_IS		POS
2019/2019_09/20190920_MS_IS_POS_13.mzML	MS_IS_13	MS_IS		POS
2019/2019_09/20190920_MS_IS_POS_14.mzML	MS_IS_14	MS_IS		POS
2019/2019_09/20190920_MS_IS_POS_15.mzML	MS_IS_15	MS_IS		POS
