name	polarity	mz	annotation	abundance
Carnitine (D3)	POS	166.1346549	13C[M+H]+	7.571009805
Carnitine (D3)	POS	167.1355458	18O[M+H]+	0.61649809
Carnitine (D3)	POS	187.1132447	[M+Na]+	NA
Carnitine (D3)	POS	329.2553236	[2M+H]+	NA
Carnitine (D3)	POS	330.2586785	13C[2M+H]+	NA
Carnitine (D3)	POS	515.3612918	[2M+Na]+	NA
Creatinine (N-Methhyl_D3)	POS	116.0787416	1H(D)[M+H]+	NA
Creatinine (N-Methhyl_D3)	POS	118.0883734	13C[M+H]+	4.326291317
Creatinine (N-Methhyl_D3)	POS	233.1627805	[2M+H]+	NA
"Glucose (6,6-D2)"	NEG	181.0681166	[M-H]-	NA
"Glucose (6,6-D2)"	NEG	217.0403241	13C[M+Cl]-	NA
"Glucose (6,6-D2)"	NEG	219.037374	13C37Cl[M+Cl]-	NA
"Glucose (6,6-D2)"	POS	388.2310686	[+]	NA
"Glucose (6,6-D2)"	NEG	416.0570393	[-]	NA
"L-Arginine HCl (13C6, 99%; 15N4, 99%)"	POS	184.1238662	12C[M+H]+	6.060606061
"L-Arginine HCl (13C6, 99%; 15N4, 99%)"	NEG	219.0904067	[-]	NA
"L-Cystine (13C6, 99%; 15N2, 99%)"	POS	165.0880963	[+]	NA
"L-Cystine (13C6, 99%; 15N2, 99%)"	POS	185.1273728	[+]	NA
"L-Cystine (13C6, 99%; 15N2, 99%)"	POS	245.0386213	[+]	NA
"L-Cystine (13C6, 99%; 15N2, 99%)"	POS	248.0451289	12C[M+H]+ & 14N[M+H]+	8.080808081
"L-Cystine (13C6, 99%; 15N2, 99%)"	POS	251.0411199	34S[M+H]+	8.948310349
"L-Glutamic acid (13C5, 99%; 15N, 99%)"	POS	136.0636787	[M+H-H2O]+	NA
"L-Glutamic acid (13C5, 99%; 15N, 99%)"	POS	153.0708886	12C[M+H]+ & 14N[M+H]+	5.050505051
"L-Histidine HCl H2O (13C6; 15N3, 99%)"	POS	118.0791528	[M+H-H2O-CO]+	NA
"L-Histidine HCl H2O (13C6; 15N3, 99%)"	POS	164.0846321	12C[M+H]+	6.060606061
"L-Leucine (13C6, 99%; 15N, 99%)"	POS	92.11023497	[M+H-H2O-CO]+	NA
"L-Leucine (13C6, 99%; 15N, 99%)"	POS	138.1157143	12C[M+H]+	6.060606061
"L-Leucine (13C6, 99%; 15N, 99%)"	POS	140.1253459	2H[M+H]+	0.161018517
"L-Leucine (13C6, 99%; 15N, 99%)"	POS	141.1233149	18O[M+H]+	0.410998727
"L-Lysine 2HCl (13C6, 99%; 15N2, 99%)"	POS	130.0863203	[+]	NA
"L-Lysine 2HCl (13C6, 99%; 15N2, 99%)"	POS	137.1164384	[M+H-H2O]+	NA
"L-Methionine (13C5, 99%; 15N, 99%)"	POS	109.0633008	[M+H-H2O-CO]+	NA
