mzML	sample	sample_group	injection_idx	polarity	plate	mix	concentration
2016/2016_05/020516_Blank_POS_1.mzML	Blank_01	Blank	1	POS	plate_01		
2016/2016_05/020516_Blank_POS_2.mzML	Blank_02	Blank	2	POS	plate_01		
2016/2016_05/020516_Blank_POS_3.mzML	Blank_03	Blank	3	POS	plate_01		
2016/2016_05/020516_Blank_POS_4.mzML	Blank_04	Blank	4	POS	plate_01		
2016/2016_05/020516_Equilibration Mix_POS_1.mzML	EQ_01	Equilibration Mix	5	POS	plate_01		
2016/2016_05/020516_Equilibration Mix_POS_2.mzML	EQ_02	Equilibration Mix	6	POS	plate_01		
2016/2016_05/020516_Equilibration Mix_POS_3.mzML	EQ_03	Equilibration Mix	7	POS	plate_01		
2016/2016_05/020516_Equilibration Mix_POS_4.mzML	EQ_04	Equilibration Mix	8	POS	plate_01		
2016/2016_05/020516_Equilibration Mix_POS_5.mzML	EQ_05	Equilibration Mix	9	POS	plate_01		
2016/2016_05/020516_Equilibration Mix_POS_6.mzML	EQ_06	Equilibration Mix	10	POS	plate_01		
2016/2016_05/020516_Equilibration Mix_POS_7.mzML	EQ_07	Equilibration Mix	11	POS	plate_01		
2016/2016_05/020516_Equilibration Mix_POS_8.mzML	EQ_08	Equilibration Mix	12	POS	plate_01		
2016/2016_05/020516_Equilibration Mix_POS_9.mzML	EQ_09	Equilibration Mix	13	POS	plate_01		
2016/2016_05/020516_Equilibration Mix_POS_10.mzML	EQ_10	Equilibration Mix	14	POS	plate_01		
2016/2016_05/020516_Equilibration Mix_POS_11.mzML	EQ_11	Equilibration Mix	15	POS	plate_01		
2016/2016_05/020516_Equilibration Mix_POS_12.mzML	EQ_12	Equilibration Mix	16	POS	plate_01		
2016/2016_05/020516_Equilibration Mix_POS_13.mzML	EQ_13	Equilibration Mix	17	POS	plate_01		
2016/2016_05/020516_Equilibration Mix_POS_14.mzML	EQ_14	Equilibration Mix	18	POS	plate_01		
2016/2016_05/020516_Blank_POS_5.mzML	Blank_05	Blank	19	POS	plate_01		
2016/2016_05/020516_Blank_POS_6.mzML	Blank_06	Blank	20	POS	plate_01		
2016/2016_05/MIX 1K_POS_a.mzML	MIX 1K_POS_a	MIX 1K_a	21	POS	plate_01	MIX01	K
2016/2016_05/MIX 1K_POS_b.mzML	MIX 1K_POS_b	MIX 1K_b	22	POS	plate_01	MIX01	K
2016/2016_05/MIX 1I_POS_a.mzML	MIX 1I_POS_a	MIX 1I_a	23	POS	plate_01	MIX01	I
2016/2016_05/MIX 1I_POS_b.mzML	MIX 1I_POS_b	MIX 1I_b	24	POS	plate_01	MIX01	I
2016/2016_05/MIX 1H_POS_a.mzML	MIX 1H_POS_a	MIX 1H_a	25	POS	plate_01	MIX01	H
2016/2016_05/MIX 1H_POS_b.mzML	MIX 1H_POS_b	MIX 1H_b	26	POS	plate_01	MIX01	H
2016/2016_05/MIX 1G_POS_a.mzML	MIX 1G_POS_a	MIX 1G_a	27	POS	plate_01	MIX01	G
2016/2016_05/MIX 1G_POS_b.mzML	MIX 1G_POS_b	MIX 1G_b	28	POS	plate_01	MIX01	G
2016/2016_05/MIX 1F_POS_a.mzML	MIX 1F_POS_a	MIX 1F_a	29	POS	plate_01	MIX01	F
2016/2016_05/MIX 1F_POS_b.mzML	MIX 1F_POS_b	MIX 1F_b	30	POS	plate_01	MIX01	F
2016/2016_05/MIX 1E_POS_a.mzML	MIX 1E_POS_a	MIX 1E_a	31	POS	plate_01	MIX01	E
