hmdb_id	name	mass	adduct	rt	polarity	source_id
HMDB0000123	Glycine	75.03202841	[M+H]+	166.44	POS	LCMS_polar_metabolome_standards_water
HMDB0000123	Glycine	75.03202841	[M-H]-	166.44	NEG	LCMS_polar_metabolome_standards_water
HMDB0000123	Glycine	75.03202841	[M+H]+	169.2	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000123	Glycine	75.03202841	[M-H]-	171	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000115	Glycolic acid	76.01604399	[M-H]-	35.58	NEG	LCMS_polar_metabolome_standards_water
HMDB0000243	Pyruvic acid	88.01604399	[M-H]-	37.86	NEG	LCMS_polar_metabolome_standards_water
HMDB0000243	Pyruvic acid	88.01604399	[M-H]-	40.8	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0001414	Putrescine	88.10004839	[M+H]+	165.6	POS	LCMS_polar_metabolome_standards_water
HMDB0000161	L-Alanine	89.04767847	[M+H]+	158.01	POS	LCMS_polar_metabolome_standards_water
HMDB0000161	L-Alanine	89.04767847	[M-H]-	158.01	NEG	LCMS_polar_metabolome_standards_water
HMDB0000161	L-Alanine	89.04767847	[M+H]+	163.2	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000161	L-Alanine	89.04767847	[M-H]-	168	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000190	L-Lactic acid	90.03169406	[M-H]-	35.46	NEG	LCMS_polar_metabolome_standards_water
HMDB0000190	L-Lactic acid	90.03169406	[M-H]-	42.6	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000005	2-Ketobutyric acid	102.0316941	[M-H]-	33.54	NEG	LCMS_polar_metabolome_standards_water
HMDB0000005	2-Ketobutyric acid	102.0316941	[M-H]-	37.2	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000112	gamma-Aminobutyric acid	103.0633285	[M+H]+	117.57	POS	LCMS_polar_metabolome_standards_water
HMDB0000112	gamma-Aminobutyric acid	103.0633285	[M-H]-	117.57	NEG	LCMS_polar_metabolome_standards_water
HMDB0000112	gamma-Aminobutyric acid	103.0633285	[M+H]+	146.4	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000092	Dimethylglycine	103.0633285	[M+H]+	163.2	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000092	Dimethylglycine	103.0633285	[M+H]+	170.94	POS	LCMS_polar_metabolome_standards_water
HMDB0000092	Dimethylglycine	103.0633285	[M-H]-	170.94	NEG	LCMS_polar_metabolome_standards_water
HMDB0000092	Dimethylglycine	103.0633285	[M-H]-	174	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000357	3-Hydroxybutyric acid	104.0473441	[M+Na]+	29.4	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000357	3-Hydroxybutyric acid	104.0473441	[M+Na]+	35.7	POS	LCMS_polar_metabolome_standards_water
HMDB0000357	3-Hydroxybutyric acid	104.0473441	[M-H]-	35.7	NEG	LCMS_polar_metabolome_standards_water
HMDB0000357	3-Hydroxybutyric acid	104.0473441	[M-H]-	37.8	NEG	LCMS_polar_metabolome_CHRIS_serum
HMDB0000097	Choline	104.1075391	[M]+	48	POS	LCMS_polar_metabolome_standards_water
HMDB0000097	Choline	104.1075391	[M]+	51	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000187	L-Serine	105.0425931	[M+H]+	179.31	POS	LCMS_polar_metabolome_standards_water
HMDB0000187	L-Serine	105.0425931	[M-H]-	179.31	NEG	LCMS_polar_metabolome_standards_water
HMDB0000187	L-Serine	105.0425931	[M+H]+	181.2	POS	LCMS_polar_metabolome_CHRIS_serum
HMDB0000187	L-Serine	105.0425931	[M-H]-	182.4	NEG	LCMS_polar_metabolome_CHRIS_serum
