"folder"	"mzML"	"polarity"	"time"	"type"	"class"	"mode"
"2020/2020_01"	"Blank1_Water_ACN_1_POS.mzML"	"POS"	"2020-01-14 17:17:33"	"Blank_Water"	"Blank_Water"	"FS"
"2020/2020_01"	"Blank2_Water_ACN_1_POS.mzML"	"POS"	"2020-01-14 17:26:17"	"Blank_Water"	"Blank_Water"	"FS"
"2020/2020_01"	"Blank3_Water_ACN_1_POS.mzML"	"POS"	"2020-01-14 17:35:03"	"Blank_Water"	"Blank_Water"	"FS"
"2020/2020_01"	"Blank1_Water_ACN_2_POS.mzML"	"POS"	"2020-01-14 17:43:49"	"Blank_Water"	"Blank_Water"	"FS"
"2020/2020_01"	"Blank2_Water_ACN_2_POS.mzML"	"POS"	"2020-01-14 17:52:35"	"Blank_Water"	"Blank_Water"	"FS"
"2020/2020_01"	"Blank3_Water_ACN_2_POS.mzML"	"POS"	"2020-01-14 18:04:23"	"Blank_Water"	"Blank_Water"	"FS"
"2020/2020_01"	"Blank1_Water_ACN_3_POS.mzML"	"POS"	"2020-01-14 18:13:09"	"Blank_Water"	"Blank_Water"	"FS"
"2020/2020_01"	"Blank2_Water_ACN_3_POS.mzML"	"POS"	"2020-01-14 18:21:54"	"Blank_Water"	"Blank_Water"	"FS"
"2020/2020_01"	"Blank3_Water_ACN_3_POS.mzML"	"POS"	"2020-01-14 18:30:40"	"Blank_Water"	"Blank_Water"	"FS"
"2020/2020_01"	"LowIS_Mix06_3_POS.mzML"	"POS"	"2020-01-14 18:39:27"	"Mix06"	"Water_Mix06_Low"	"FS"
"2020/2020_01"	"HighIS_Mix13_3_POS.mzML"	"POS"	"2020-01-14 18:51:14"	"Mix13"	"Water_Mix13_High"	"FS"
"2020/2020_01"	"HighIS_Mix09_2_POS.mzML"	"POS"	"2020-01-14 18:59:59"	"Mix09"	"Water_Mix09_High"	"FS"
"2020/2020_01"	"HighIS_Mix20_1_POS.mzML"	"POS"	"2020-01-14 19:08:44"	"Mix20"	"Water_Mix20_High"	"FS"
"2020/2020_01"	"LowIS_Mix13_3_POS.mzML"	"POS"	"2020-01-14 19:17:29"	"Mix13"	"Water_Mix13_Low"	"FS"
"2020/2020_01"	"LowIS_Mix12_2_POS.mzML"	"POS"	"2020-01-14 19:26:14"	"Mix12"	"Water_Mix12_Low"	"FS"
"2020/2020_01"	"LowIS_Mix14_3_POS.mzML"	"POS"	"2020-01-14 19:38:02"	"Mix14"	"Water_Mix14_Low"	"FS"
"2020/2020_01"	"HighIS_Mix15_2_POS.mzML"	"POS"	"2020-01-14 19:46:48"	"Mix15"	"Water_Mix15_High"	"FS"
"2020/2020_01"	"LowIS_Mix02_2_POS.mzML"	"POS"	"2020-01-14 19:55:33"	"Mix02"	"Water_Mix02_Low"	"FS"
"2020/2020_01"	"LowIS_Mix19_2_POS.mzML"	"POS"	"2020-01-14 20:04:18"	"Mix19"	"Water_Mix19_Low"	"FS"
"2020/2020_01"	"LowIS_Mix10_3_POS.mzML"	"POS"	"2020-01-14 20:13:04"	"Mix10"	"Water_Mix10_Low"	"FS"
"2020/2020_01"	"HighIS_Mix17_3_POS.mzML"	"POS"	"2020-01-14 20:24:51"	"Mix17"	"Water_Mix17_High"	"FS"
"2020/2020_01"	"HighIS_Mix12_3_POS.mzML"	"POS"	"2020-01-14 20:33:37"	"Mix12"	"Water_Mix12_High"	"FS"
"2020/2020_01"	"LowIS_Mix09_1_POS.mzML"	"POS"	"2020-01-14 20:42:22"	"Mix09"	"Water_Mix09_Low"	"FS"
"2020/2020_01"	"LowIS_Mix12_3_POS.mzML"	"POS"	"2020-01-14 20:51:08"	"Mix12"	"Water_Mix12_Low"	"FS"
"2020/2020_01"	"HighIS_Mix03_1_POS.mzML"	"POS"	"2020-01-14 20:59:54"	"Mix03"	"Water_Mix03_High"	"FS"
"2020/2020_01"	"LowIS_Mix20_2_POS.mzML"	"POS"	"2020-01-14 21:11:41"	"Mix20"	"Water_Mix20_Low"	"FS"
"2020/2020_01"	"LowIS_Mix07_1_POS.mzML"	"POS"	"2020-01-14 21:20:27"	"Mix07"	"Water_Mix07_Low"	"FS"
"2020/2020_01"	"LowIS_Mix13_2_POS.mzML"	"POS"	"2020-01-14 21:29:13"	"Mix13"	"Water_Mix13_Low"	"FS"
"2020/2020_01"	"HighIS_Mix02_3_POS.mzML"	"POS"	"2020-01-14 21:37:58"	"Mix02"	"Water_Mix02_High"	"FS"
"2020/2020_01"	"LowIS_Mix16_3_POS.mzML"	"POS"	"2020-01-14 21:46:43"	"Mix16"	"Water_Mix16_Low"	"FS"
"2020/2020_01"	"LowIS_Mix07_3_POS.mzML"	"POS"	"2020-01-14 21:58:31"	"Mix07"	"Water_Mix07_Low"	"FS"
"2020/2020_01"	"HighIS_Mix14_1_POS.mzML"	"POS"	"2020-01-14 22:07:17"	"Mix14"	"Water_Mix14_High"	"FS"
"2020/2020_01"	"HighIS_Mix03_3_POS.mzML"	"POS"	"2020-01-14 22:16:03"	"Mix03"	"Water_Mix03_High"	"FS"
"2020/2020_01"	"HighIS_Mix11_2_POS.mzML"	"POS"	"2020-01-14 22:24:47"	"Mix11"	"Water_Mix11_High"	"FS"
"2020/2020_01"	"HighIS_Mix19_3_POS.mzML"	"POS"	"2020-01-14 22:33:33"	"Mix19"	"Water_Mix19_High"	"FS"
"2020/2020_01"	"HighIS_Mix06_2_POS.mzML"	"POS"	"2020-01-14 22:45:20"	"Mix06"	"Water_Mix06_High"	"FS"
"2020/2020_01"	"HighIS_Mix18_3_POS.mzML"	"POS"	"2020-01-14 22:54:05"	"Mix18"	"Water_Mix18_High"	"FS"
"2020/2020_01"	"LowIS_Mix07_2_POS.mzML"	"POS"	"2020-01-14 23:02:51"	"Mix07"	"Water_Mix07_Low"	"FS"
"2020/2020_01"	"LowIS_Mix19_3_POS.mzML"	"POS"	"2020-01-14 23:11:36"	"Mix19"	"Water_Mix19_Low"	"FS"
"2020/2020_01"	"LowIS_Mix02_3_POS.mzML"	"POS"	"2020-01-14 23:20:22"	"Mix02"	"Water_Mix02_Low"	"FS"
"2020/2020_01"	"LowIS_Mix08_2_POS.mzML"	"POS"	"2020-01-14 23:32:08"	"Mix08"	"Water_Mix08_Low"	"FS"
"2020/2020_01"	"LowIS_Mix04_1_POS.mzML"	"POS"	"2020-01-14 23:40:54"	"Mix04"	"Water_Mix04_Low"	"FS"
"2020/2020_01"	"HighIS_Mix08_1_POS.mzML"	"POS"	"2020-01-14 23:49:39"	"Mix08"	"Water_Mix08_High"	"FS"
"2020/2020_01"	"HighIS_Mix12_2_POS.mzML"	"POS"	"2020-01-14 23:58:24"	"Mix12"	"Water_Mix12_High"	"FS"
"2020/2020_01"	"LowIS_Mix14_2_POS.mzML"	"POS"	"2020-01-15 00:07:10"	"Mix14"	"Water_Mix14_Low"	"FS"
"2020/2020_01"	"HighIS_Mix10_2_POS.mzML"	"POS"	"2020-01-15 00:18:58"	"Mix10"	"Water_Mix10_High"	"FS"
"2020/2020_01"	"HighIS_Mix01_3_POS.mzML"	"POS"	"2020-01-15 00:27:43"	"Mix01"	"Water_Mix01_High"	"FS"
"2020/2020_01"	"LowIS_Mix11_2_POS.mzML"	"POS"	"2020-01-15 00:36:27"	"Mix11"	"Water_Mix11_Low"	"FS"
"2020/2020_01"	"HighIS_Mix04_1_POS.mzML"	"POS"	"2020-01-15 00:45:13"	"Mix04"	"Water_Mix04_High"	"FS"
"2020/2020_01"	"HighIS_Mix09_1_POS.mzML"	"POS"	"2020-01-15 00:53:58"	"Mix09"	"Water_Mix09_High"	"FS"
"2020/2020_01"	"HighIS_Mix02_2_POS.mzML"	"POS"	"2020-01-15 01:05:45"	"Mix02"	"Water_Mix02_High"	"FS"
"2020/2020_01"	"HighIS_Mix02_1_POS.mzML"	"POS"	"2020-01-15 01:14:29"	"Mix02"	"Water_Mix02_High"	"FS"
"2020/2020_01"	"LowIS_Mix06_1_POS.mzML"	"POS"	"2020-01-15 01:23:14"	"Mix06"	"Water_Mix06_Low"	"FS"
"2020/2020_01"	"LowIS_Mix05_3_POS.mzML"	"POS"	"2020-01-15 01:31:59"	"Mix05"	"Water_Mix05_Low"	"FS"
"2020/2020_01"	"LowIS_Mix01_2_POS.mzML"	"POS"	"2020-01-15 01:40:44"	"Mix01"	"Water_Mix01_Low"	"FS"
"2020/2020_01"	"HighIS_Mix09_3_POS.mzML"	"POS"	"2020-01-15 01:52:31"	"Mix09"	"Water_Mix09_High"	"FS"
"2020/2020_01"	"LowIS_Mix17_1_POS.mzML"	"POS"	"2020-01-15 02:01:17"	"Mix17"	"Water_Mix17_Low"	"FS"
"2020/2020_01"	"HighIS_Mix16_1_POS.mzML"	"POS"	"2020-01-15 02:10:02"	"Mix16"	"Water_Mix16_High"	"FS"
"2020/2020_01"	"LowIS_Mix11_3_POS.mzML"	"POS"	"2020-01-15 02:18:48"	"Mix11"	"Water_Mix11_Low"	"FS"
"2020/2020_01"	"LowIS_Mix10_2_POS.mzML"	"POS"	"2020-01-15 02:27:34"	"Mix10"	"Water_Mix10_Low"	"FS"
"2020/2020_01"	"HighIS_Mix05_2_POS.mzML"	"POS"	"2020-01-15 02:39:22"	"Mix05"	"Water_Mix05_High"	"FS"
"2020/2020_01"	"HighIS_Mix14_2_POS.mzML"	"POS"	"2020-01-15 02:48:06"	"Mix14"	"Water_Mix14_High"	"FS"
"2020/2020_01"	"LowIS_Mix14_1_POS.mzML"	"POS"	"2020-01-15 02:56:52"	"Mix14"	"Water_Mix14_Low"	"FS"
"2020/2020_01"	"HighIS_Mix08_3_POS.mzML"	"POS"	"2020-01-15 03:05:37"	"Mix08"	"Water_Mix08_High"	"FS"
"2020/2020_01"	"HighIS_Mix13_1_POS.mzML"	"POS"	"2020-01-15 03:14:22"	"Mix13"	"Water_Mix13_High"	"FS"
"2020/2020_01"	"HighIS_Mix16_2_POS.mzML"	"POS"	"2020-01-15 03:26:10"	"Mix16"	"Water_Mix16_High"	"FS"
"2020/2020_01"	"HighIS_Mix08_2_POS.mzML"	"POS"	"2020-01-15 03:34:55"	"Mix08"	"Water_Mix08_High"	"FS"
"2020/2020_01"	"HighIS_Mix16_3_POS.mzML"	"POS"	"2020-01-15 03:43:40"	"Mix16"	"Water_Mix16_High"	"FS"
"2020/2020_01"	"HighIS_Mix19_2_POS.mzML"	"POS"	"2020-01-15 03:52:25"	"Mix19"	"Water_Mix19_High"	"FS"
"2020/2020_01"	"LowIS_Mix12_1_POS.mzML"	"POS"	"2020-01-15 04:01:11"	"Mix12"	"Water_Mix12_Low"	"FS"
"2020/2020_01"	"LowIS_Mix18_2_POS.mzML"	"POS"	"2020-01-15 04:12:58"	"Mix18"	"Water_Mix18_Low"	"FS"
"2020/2020_01"	"HighIS_Mix14_3_POS.mzML"	"POS"	"2020-01-15 04:21:44"	"Mix14"	"Water_Mix14_High"	"FS"
"2020/2020_01"	"HighIS_Mix18_1_POS.mzML"	"POS"	"2020-01-15 04:30:29"	"Mix18"	"Water_Mix18_High"	"FS"
"2020/2020_01"	"HighIS_Mix01_1_POS.mzML"	"POS"	"2020-01-15 04:39:15"	"Mix01"	"Water_Mix01_High"	"FS"
"2020/2020_01"	"LowIS_Mix01_1_POS.mzML"	"POS"	"2020-01-15 04:48:00"	"Mix01"	"Water_Mix01_Low"	"FS"
